时间,电压,周期,温箱数据
11:53:47,10.000,2,080
11:53:49,10.000,2,079
11:53:51,10.000,2,079
11:53:53,10.000,2,079
11:53:55,10.000,2,079
11:53:57,10.000,2,078
11:53:59,10.000,2,080
11:54:01,10.000,2,079
11:54:03,10.000,2,079
11:54:05,10.000,2,078
11:54:07,10.000,2,079
11:54:09,10.000,2,079
11:54:11,10.000,2,079
11:54:13,10.000,2,079
11:54:15,10.000,2,079
11:54:17,10.000,2,079
11:54:19,10.000,2,079
11:54:21,10.000,2,080
11:54:23,10.000,2,079
11:54:25,10.000,2,080
11:54:27,10.000,2,080
11:54:29,10.000,2,080
11:54:31,10.000,2,077
11:54:33,10.000,2,077
11:54:35,10.000,2,080
11:54:37,10.000,2,078
11:54:39,10.000,2,080
11:54:41,10.000,2,079
11:54:43,10.000,2,079
11:54:45,10.000,2,079
11:54:47,10.000,2,079
11:54:49,10.000,2,079
11:54:51,10.000,2,079
11:54:53,10.000,2,079
11:54:55,10.000,2,079
11:54:57,10.000,2,079
11:54:59,10.000,2,080
11:55:01,50.000,2,079
11:55:03,50.000,2,079
11:55:05,50.000,2,080
11:55:07,50.000,2,079
11:55:10,50.000,2,078
11:55:12,50.000,2,078
11:55:14,50.000,2,078
11:55:16,50.000,2,079
11:55:18,50.000,2,077
11:55:20,50.000,2,078
11:55:22,50.000,2,078
11:55:24,50.000,2,079
11:55:26,50.000,2,078
11:55:28,50.000,2,077
11:55:30,50.000,2,079
11:55:32,50.000,2,079
11:55:34,50.000,2,078
11:55:36,50.000,2,079
11:55:38,50.000,2,079
11:55:40,50.000,2,078
11:55:42,50.000,2,079
11:55:44,50.000,2,076
11:55:46,50.000,2,079
11:55:48,50.000,2,079
11:55:50,50.000,2,078
11:55:52,50.000,2,077
11:55:54,50.000,2,078
11:55:56,50.000,2,079
11:55:58,50.000,2,077
11:56:00,50.000,2,078
11:56:02,10.000,2,079
11:56:04,10.000,2,079
11:56:06,10.000,2,079
11:56:08,10.000,2,079
11:56:10,10.000,2,078
11:56:12,10.000,2,079
11:56:14,10.000,2,079
11:56:16,10.000,2,079
11:56:18,10.000,2,079
11:56:20,10.000,2,079
11:56:22,10.000,2,078
11:56:24,10.000,2,079
11:56:26,10.000,2,077
11:56:28,10.000,2,080
11:56:30,10.000,2,079
11:56:32,50.000,2,078
